id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
678,"0903","Río Sonora 2","II","RH009","2020-09-21","2020-02-04Z","",75.358,118.084,74.694,0,60.485,85.171,30.099,-0.21,64.173,64.173,0,1,"Sin disponibilidad",2020
687,"0904","Río Sonora 3","II","RH009","2020-09-21","2020-02-04Z","",98.872,64.173,163.045,0,0,0,0,0,-0.001,0,-0.001,1,"Sin disponibilidad",2020
697,"0905","Río Mátape 1","II","RH009","2020-09-21","2020-02-04Z","",33.244,0,2.438,0,0,0,4.18,-0.005,26.631,11.862,14.769,2,"Con disponibilidad",2020
700,"0906","Río Mátape 2","II","RH009","2020-09-21","2020-02-04Z","",46.638,26.631,20.136,0,0,12.5,0,0,40.633,0,40.633,2,"Con disponibilidad",2020
710,"0907","Río Bavispe","II","RH009","2020-09-21","2020-02-04Z","",526.976,0,457.555,3.774,0,0,53.245,-0.572,20.522,20.518,0.004,2,"Con disponibilidad",2020
718,"0908","Río Yaqui 1","II","RH009","2020-09-21","2020-02-04Z","",2187.837,20.522,1978.169,447.212,0,60.485,132.847,40.147,443.922,443.406,0.516,2,"Con disponibilidad",2020
726,"0909","Río Yaqui 2","II","RH009","2020-09-21","2020-02-04Z","",382.623,443.922,1604.221,1876.601,0,0,203.562,1.203,894.16,891.018,3.142,2,"Con disponibilidad",2020
732,"0910","Río Yaqui 3","II","RH009","2020-09-21","2020-02-04Z","",54.119,894.16,2539.887,1600.565,0,0,0,0,8.957,0,8.957,2,"Con disponibilidad",2020
740,"0911","Arroyo Cocoraque 1","II","RH009","2020-09-21","2020-02-04Z","",15.443,0,4.193,0,0,0,0,0,11.25,0.755,10.495,2,"Con disponibilidad",2020
741,"0912","Arroyo Cocoraque 2","II","RH009","2020-09-21","2020-02-04Z","",13.529,11.25,1.662,0,0,0,0,0,23.117,0,23.117,2,"Con disponibilidad",2020
751,"0913","Río Mayo 1","II","RH009","2020-09-21","2020-02-04Z","",965.053,0,28.28,2.024,0,0,0,0,938.798,938.748,0.05,2,"Con disponibilidad",2020
759,"0914","Arroyo Quiriego","II","RH009","2020-09-21","2020-02-04Z","",23.496,0,0.402,0.089,0,0,0,0,23.183,23.181,0.001,2,"Con disponibilidad",2020
768,"0915","Río Mayo 2","II","RH009","2020-09-21","2020-02-04Z","",146.372,961.981,1034.774,0.229,0,0,73.009,0.373,0.425,0.367,0.059,2,"Con disponibilidad",2020
