CVEGEO,Municipio,Pobreza_pct,Pobreza_extrema_pct,Carencia_servicios_pct,Estado,poblacion_total,pct_rural,clasificacion_rural,monto_agua,monto_recaudado_percapita,tomas_pagadas,Clave RHA,RHA,cobertura_agua_conagua_pct,carencia_agua_conagua_pct
07121,Rincón Chamula San Pedro,97.8847219017,56.641010847,58.1813985691,Chiapas,8718,22.78045423262216,Urbano,0.0,0.0,0.0,XI,Frontera Sur,97.47,2.530000000000001
07122,El Parral,77.602548262,23.0571246827,56.9711717184,Chiapas,15890,24.801762114537446,Urbano,236237.0,15.0,1270.0,XI,Frontera Sur,96.31,3.6899999999999977
07123,Emiliano Zapata,72.2035338233,25.807756312,54.4717578671,Chiapas,10995,52.34197362437472,Rural,73596.0,7.0,606.0,XI,Frontera Sur,91.84,8.159999999999997
07124,Mezcalapa,79.7040946921,28.1679732463,67.5211975936,Chiapas,24362,67.29332567112716,Rural,0.0,0.0,0.0,XI,Frontera Sur,93.53,6.469999999999999
07125,Honduras de la Sierra,,,,Chiapas,11708,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,98.42,1.5799999999999983
08001,Ahumada,37.88438559,1.943733661,2.4192820095,Chihuahua,15132,30.54454136928364,Urbano,10411629.0,711.0,1980.0,VI,Río Bravo,99.54,0.45999999999999375
08002,Aldama,25.3823127887,1.0684297378,0.7021819451,Chihuahua,26412,14.553990610328638,Urbano,16073610.0,617.0,4368.0,VI,Río Bravo,99.82,0.18000000000000682
08003,Allende,21.2699952107,1.249401341,2.3587164751,Chihuahua,8709,47.0892180502928,Urbano,7183000.0,846.0,2369.0,VI,Río Bravo,99.67,0.3299999999999983
08004,Aquiles Serdán,30.0726158486,1.2461530419,0.1768080491,Chihuahua,27345,4.9625159992686045,Urbano,10363852.0,426.0,1334.0,VI,Río Bravo,99.08,0.9200000000000017
08005,Ascensión,43.509385966,6.1266640993,1.3485854439,Chihuahua,26446,20.184526960598955,Urbano,19773910.0,758.0,4411.0,VI,Río Bravo,99.12,0.8799999999999955
08006,Bachíniva,12.1928219564,0.8995425757,9.1836734694,Chihuahua,5986,100.0,Rural,134133.0,23.0,200.0,VI,Río Bravo,99.46,0.5400000000000063
08007,Balleza,64.339342723,33.4820031299,61.6087636933,Chihuahua,17353,100.0,Rural,1206639.0,73.0,618.0,VI,Río Bravo,64.26,35.739999999999995
08008,Batopilas,92.2113183161,64.8472119645,84.0934268833,Chihuahua,12238,100.0,Rural,0.0,0.0,0.0,III,Pacífico Norte,76.27,23.730000000000004
08009,Bocoyna,56.5051532158,12.2153845737,36.3867004885,Chihuahua,24048,36.03210246174318,Urbano,8801240.0,377.0,3295.0,VI,Río Bravo,84.37,15.629999999999995
08010,Buenaventura,46.8025598194,6.6035953085,5.3972554777,Chihuahua,25265,20.13061547595488,Urbano,13770861.0,548.0,3490.0,VI,Río Bravo,99.79,0.20999999999999375
08011,Camargo,27.1851465597,1.6303960694,1.430889415,Chihuahua,50399,16.627314034008613,Urbano,45406948.0,917.0,9551.0,VI,Río Bravo,99.6,0.4000000000000057
08012,Carichí,55.3190818514,25.3975280615,57.7248076681,Chihuahua,8721,100.0,Rural,22800.0,3.0,95.0,VI,Río Bravo,63.99,36.01
08013,Casas Grandes,32.7015437635,3.6474227948,4.6840173643,Chihuahua,12191,41.481420720203424,Urbano,5583212.0,473.0,1637.0,VI,Río Bravo,99.33,0.6700000000000017
08014,Coronado,23.4722222222,0.7580808081,3.1818181818,Chihuahua,2156,100.0,Rural,127200.0,63.0,126.0,VI,Río Bravo,98.92,1.0799999999999983
08015,Coyame del Sotol,24.0612870276,1.0480081716,2.4514811032,Chihuahua,1307,100.0,Rural,593274.0,482.0,320.0,VI,Río Bravo,97.4,2.5999999999999943
08016,La Cruz,15.2115917915,0.7681641708,2.9950083195,Chihuahua,3728,100.0,Rural,0.0,0.0,0.0,VI,Río Bravo,99.81,0.18999999999999773
08017,Cuauhtémoc,24.7199352088,1.2398967067,1.4270329891,Chihuahua,181657,19.7487572733228,Urbano,157644880.0,873.0,39718.0,VI,Río Bravo,99.37,0.6299999999999955
08018,Cusihuiriachi,28.435190733,2.5518274416,11.1843419213,Chihuahua,5320,100.0,Rural,142858.0,28.0,170.0,VI,Río Bravo,98.86,1.1400000000000006
08019,Chihuahua,15.6764975048,0.8743032438,1.114924103,Chihuahua,938586,1.3663105991352948,Urbano,1071168975.0,1142.0,283232.0,VI,Río Bravo,98.91,1.0900000000000034
08020,Chínipas,52.3237137203,13.0008245383,45.9432717678,Chihuahua,6488,100.0,Rural,0.0,0.0,0.0,III,Pacífico Norte,91.03,8.969999999999999
08021,Delicias,21.8147077258,1.3710944461,0.6455263549,Chihuahua,151445,7.453530984845984,Urbano,174709473.0,1161.0,28892.0,VI,Río Bravo,99.71,0.29000000000000625
08022,Dr. Belisario Domínguez,38.1454545455,3.6951374207,5.7505285412,Chihuahua,2473,100.0,Rural,744140.0,303.0,58.0,VI,Río Bravo,99.51,0.4899999999999949
08023,Galeana,32.3015214385,2.4919317658,3.9495927463,Chihuahua,6798,63.16563695204472,Rural,528697.0,79.0,1997.0,VI,Río Bravo,99.91,0.09000000000000341
08024,Santa Isabel,20.9447483589,0.4715536105,1.6958424508,Chihuahua,3861,100.0,Rural,2733465.0,721.0,888.0,VI,Río Bravo,99.89,0.10999999999999943
08025,Gómez Farías,31.7823109427,2.1017047938,9.3545096896,Chihuahua,7034,36.25248791583736,Urbano,109775.0,16.0,2386.0,VI,Río Bravo,99.84,0.1599999999999966
08026,Gran Morelos,23.1931239389,1.7975382003,5.7300509338,Chihuahua,2475,100.0,Rural,681163.0,278.0,309.0,VI,Río Bravo,99.25,0.75
08027,Guachochi,63.7379707435,22.8195480565,46.6705746914,Chihuahua,52691,66.95830407469965,Rural,6227386.0,124.0,2135.0,III,Pacífico Norte,70.41,29.590000000000003
08028,Guadalupe,19.7141421753,0.4910826426,6.7319768902,Chihuahua,4370,100.0,Rural,4073813.0,961.0,906.0,VI,Río Bravo,99.16,0.8400000000000034
08029,Guadalupe y Calvo,75.8381971291,25.5809852267,58.7745106091,Chihuahua,52591,82.53313304557814,Rural,0.0,0.0,0.0,III,Pacífico Norte,90.94,9.060000000000002
08030,Guazapares,66.6339106426,24.5677710843,42.2063253012,Chihuahua,9163,70.03164902324566,Rural,1590745.0,194.0,230.0,III,Pacífico Norte,87.52,12.480000000000004
